,MSE,R2
KNeighborsRegressor,0.5674222596964587,0.6969047263274775
RBF SVR,0.5603974582068112,0.7075119649029564
RandomForestRegressor,0.539232486689954,0.7347077485080072
GradientBoostingRegressor,0.6006823477745317,0.6945813859591451
Stacking,0.5230134606377461,0.7437934877092595
CascadeForestRegressor,0.518561994097808,0.7500299531207368
