,MSE,R2
KNeighborsRegressor,0.5555962900505903,0.7106828595790909
RBF SVR,0.558867774225324,0.7112220632510005
RandomForestRegressor,0.5240764688696163,0.7426446977604091
GradientBoostingRegressor,0.56563347764302,0.7126652773995981
Stacking,0.5151279064983283,0.7454340122289966
CascadeForestRegressor,0.5100784822934235,0.7577095248121553
