,MSE,R2
KNeighborsRegressor,0.5553166947723441,0.7237029630167544
RBF SVR,0.5717214643296578,0.703537234611122
RandomForestRegressor,0.5249456339503199,0.7425918082068941
GradientBoostingRegressor,0.5783078863183698,0.6994260695759316
Stacking,0.5175925435692756,0.7487861062264861
CascadeForestRegressor,0.5194763427487353,0.7534203796000266
